index,max_memory,memory,status,time
ldv-cat-0000.c.ite.gsa.df.smt2,0.09,0.09,unknown,
ldv-cat-0001.c.ite.gsa.df.smt2,3.28,2.97,unsat,0.01
ldv-cat-0002.c.ite.gsa.df.smt2,3.24,2.94,unsat,0.01
ldv-cat-0003.c.ite.gsa.df.smt2,3.27,2.97,unsat,0.01
ldv-cat-0004.c.ite.gsa.df.smt2,3.41,3.11,unsat,0.01
ldv-cat-0005.c.ite.gsa.df.smt2,3.68,3.38,unsat,0.01
ldv-cat-0006.c.ite.gsa.df.smt2,3.48,3.17,unsat,0.01
ldv-cat-0007.c.ite.gsa.df.smt2,3.67,3.37,unsat,0.01
ldv-cat-0008.c.ite.gsa.df.smt2,4.29,3.99,unsat,0.01
ldv-cat-0009.c.ite.gsa.df.smt2,22.57,5.74,sat,0.40
ldv-cat-0010.c.ite.gsa.df.smt2,26.89,8.21,sat,2.09
ldv-cat-0011.c.ite.gsa.df.smt2,5.30,4.97,unsat,0.03
ldv-cat-0012.c.ite.gsa.df.smt2,5.30,4.97,unsat,0.03
ldv-cat-0013.i.ite.gsa.df.smt2,4.10,3.87,unsat,0.01
ldv-cat-0014.c.ite.gsa.df.smt2,4.47,4.14,unsat,0.02
ldv-cat-0015.c.ite.gsa.df.smt2,7.98,6.77,unsat,0.04
ldv-cat-0016.c.ite.gsa.df.smt2,17.46,6.87,sat,1.69
ldv-cat-0017.c.ite.gsa.df.smt2,7.22,6.38,unsat,0.04
ldv-cat-0018.c.ite.gsa.df.smt2,5.51,4.95,unsat,0.02
ldv-cat-0019.i.ite.gsa.df.smt2,82.71,20.58,unsat,8.92
ldv-cat-0020.c.ite.gsa.df.smt2,114.44,29.58,unsat,38.20
ldv-cat-0021.c.ite.gsa.df.smt2,30.23,8.24,sat,5.81
ldv-cat-0022.i.ite.gsa.df.smt2,78.14,19.53,unsat,7.07
ldv-cat-0023.c.ite.gsa.df.smt2,71.14,19.98,sat,13.06
ldv-cat-0024.i.ite.gsa.df.smt2,1136.64,255.13,unsat,14.03
ldv-cat-0025.c.ite.gsa.df.smt2,11.53,9.60,unsat,0.01
ldv-cat-0026.c.ite.gsa.df.smt2,11.75,9.84,unsat,0.10
ldv-cat-0027.c.ite.gsa.df.smt2,254.74,61.69,sat,15.49
ldv-cat-0028.c.ite.gsa.df.smt2,8.21,7.08,unsat,0.05
ldv-cat-0029.c.ite.gsa.df.smt2,236.69,51.67,unsat,55.20
ldv-cat-0030.c.ite.gsa.df.smt2,7.98,6.88,unsat,0.06
ldv-cat-0031.i.ite.gsa.df.smt2,109.87,21.60,sat,62.73
ldv-cat-0032.c.ite.gsa.df.smt2,451.26,422.88,timeout,929.94
ldv-cat-0033.c.ite.gsa.df.smt2,21.05,17.52,unsat,0.31
ldv-cat-0034.i.ite.gsa.df.smt2,135.53,28.71,sat,56.87
ldv-cat-0035.c.ite.gsa.df.smt2,14.11,11.90,unsat,0.15
ldv-cat-0036.c.ite.gsa.df.smt2,14.50,11.21,unsat,0.09
ldv-cat-0037.c.ite.gsa.df.smt2,816.44,815.52,timeout,929.78
ldv-cat-0038.c.ite.gsa.df.smt2,183.98,27.24,sat,4.37
ldv-cat-0039.c.ite.gsa.df.smt2,22.00,18.42,unsat,0.21
ldv-cat-0040.c.ite.gsa.df.smt2,12.25,9.37,unsat,0.06
ldv-cat-0041.c.ite.gsa.df.smt2,9.01,7.40,unsat,0.03
ldv-cat-0042.c.ite.gsa.df.smt2,258.38,41.68,sat,6.27
ldv-cat-0043.c.ite.gsa.df.smt2,126.73,37.45,sat,6.77
ldv-cat-0044.c.ite.gsa.df.smt2,27.94,22.58,unsat,0.87
ldv-cat-0045.c.ite.gsa.df.smt2,418.49,98.12,unsat,7.41
ldv-cat-0046.i.ite.gsa.df.smt2,102.26,24.89,unsat,51.75
ldv-cat-0047.c.ite.gsa.df.smt2,44.25,36.64,unsat,0.43
ldv-cat-0048.c.ite.gsa.df.smt2,17.26,12.26,unsat,0.15
ldv-cat-0049.c.ite.gsa.df.smt2,16.45,12.99,unsat,0.21
ldv-cat-0050.i.ite.gsa.df.smt2,412.54,83.01,sat,168.21
ldv-cat-0051.i.ite.gsa.df.smt2,292.38,292.29,timeout,929.86
ldv-cat-0052.c.ite.gsa.df.smt2,62.90,22.07,sat,9.25
ldv-cat-0053.c.ite.gsa.df.smt2,9.31,7.61,unsat,0.03
ldv-cat-0054.c.ite.gsa.df.smt2,14.81,12.19,unsat,0.07
ldv-cat-0055.c.ite.gsa.df.smt2,7.97,6.96,unsat,0.03
ldv-cat-0056.c.ite.gsa.df.smt2,329.61,329.05,timeout,929.93
ldv-cat-0057.i.ite.gsa.df.smt2,218.62,44.45,sat,184.28
ldv-cat-0058.c.ite.gsa.df.smt2,40.84,32.39,unsat,0.77
ldv-cat-0059.c.ite.gsa.df.smt2,29.53,22.09,unsat,0.12
ldv-cat-0060.c.ite.gsa.df.smt2,37.46,30.31,unsat,0.31
ldv-cat-0061.c.ite.gsa.df.smt2,6.16,5.35,unsat,0.02
ldv-cat-0062.c.ite.gsa.df.smt2,1629.25,381.40,unsat,22.70
ldv-cat-0063.c.ite.gsa.df.smt2,7.01,5.98,unsat,0.05
ldv-cat-0064.i.ite.gsa.df.smt2,934.17,878.90,timeout,929.87
ldv-cat-0065.c.ite.gsa.df.smt2,190.85,161.36,unsat,2.36
ldv-cat-0066.c.ite.gsa.df.smt2,497.14,455.26,timeout,929.91
ldv-cat-0067.i.ite.gsa.df.smt2,427.96,85.84,sat,324.98
ldv-cat-0068.c.ite.gsa.df.smt2,71.82,55.65,unsat,0.34
ldv-cat-0069.c.ite.gsa.df.smt2,827.14,826.56,timeout,929.37
ldv-cat-0070.c.ite.gsa.df.smt2,311.05,44.41,sat,121.39
