index,btor_time,real,status,sys,user
ldv-cat-0000.c.ite.gsa.df.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0001.c.ite.gsa.df.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0002.c.ite.gsa.df.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0003.c.ite.gsa.df.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0004.c.ite.gsa.df.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0005.c.ite.gsa.df.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0006.c.ite.gsa.df.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0007.c.ite.gsa.df.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0008.c.ite.gsa.df.smt2,,0.02,unsat,0.0,0.02
ldv-cat-0009.c.ite.gsa.df.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0010.c.ite.gsa.df.smt2,,0.01,unknown,0.0,0.01
ldv-cat-0011.c.ite.gsa.df.smt2,1.5,1.7,sat,0.01,1.68
ldv-cat-0012.c.ite.gsa.df.smt2,1.5,1.69,sat,0.02,1.66
ldv-cat-0013.i.ite.gsa.df.smt2,1.6,1.68,sat,0.01,1.66
ldv-cat-0014.c.ite.gsa.df.smt2,5.5,6.11,sat,0.07,6.03
ldv-cat-0015.c.ite.gsa.df.smt2,15.0,16.2,sat,0.34,15.86
ldv-cat-0016.c.ite.gsa.df.smt2,0.8,0.98,sat,0.01,0.97
ldv-cat-0017.c.ite.gsa.df.smt2,9.0,10.17,sat,0.22,9.94
ldv-cat-0018.c.ite.gsa.df.smt2,,0.02,unknown,0.0,0.02
ldv-cat-0019.i.ite.gsa.df.smt2,0.6,0.99,unsat,0.05,0.94
ldv-cat-0020.c.ite.gsa.df.smt2,5.2,6.15,sat,0.1,6.05
ldv-cat-0021.c.ite.gsa.df.smt2,1.3,1.38,sat,0.02,1.35
ldv-cat-0022.i.ite.gsa.df.smt2,3.6,4.04,sat,0.09,3.95
